용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
분할여부,PRTTN_YN,여부,여부C1,CHAR(1),,나누어 쪼갰는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
분할횟수,PRTTN_NMTM,수,수N10,NUMBER(10),,나누어 쪼갠 횟수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불공제매입세액,NDDC_IPTXAM,금액,금액N18,NUMBER(18),,"사업자가 공급받은 재화나 용역에 대하여 공급자가 징수한 부가가치세액 중, 세법상 공제 대상에서 제외되어 환급이나 공제를 받을 수 없는 세액",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불공제사유,NDDC_RSN,내용,내용V4000,VARCHAR(4000),,세법 등에 따라 매입세액 등을 공제받지 못하는 이유,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불납결손금액,LSNPY_AMT,금액,금액N15,NUMBER(15),,세무자가 내지 않아 채워지지 않은 조세의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불납결손누계금액,LSNPY_ACTOT_AMT,금액,금액N15,NUMBER(15),,"징수결정액 중 그 채권에 대하여 면제, 시효완성, 계약상의 해제조건의 성취등 세입징수가 불가능한 사유가 발생하여 세입징수관이 불납결손정리(不納缺損整理)를 마친 금액의 소계(小計)를 계속하여 덧붙여 합산한 돈의 액수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불량내용,BAD_CN,내용,내용V4000,VARCHAR(4000),,물건 따위의 품질이나 상태가 나쁜 것의 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불량수량,BAD_QTY,수,"수N10,3","NUMBER(10,3)",,물건 따위의 품질이나 상태가 나쁜 수효와 분량,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불만족수,DSTF_CNT,수,수N10,NUMBER(10),,마음에 흡족하지 않은 정도를 선택한 가짓수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불용결정일자,DUSE_DCSN_YMD,연월일,연월일C8,CHAR(8),,쓰지 않기로 분명하게 정한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불용금액,DUSE_AMT,금액,금액N15,NUMBER(15),,쓰지 않은 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불용사유,DUSE_RSN,내용,내용V4000,VARCHAR(4000),,쓰지 않은 이유,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불용수량,DUSE_QTY,수,"수N10,3","NUMBER(10,3)",,쓰지 않은 것의 수효와 분량,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불용여부,DUSE_YN,여부,여부C1,CHAR(1),,쓰지 않는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불용일시,DUSE_DT,연월일시분초,연월일시분초D,DATE,,쓰지 않은 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불용일자,DUSE_YMD,연월일,연월일C8,CHAR(8),,쓰지 않은 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불용처리일자,DUSE_PRCS_YMD,연월일,연월일C8,CHAR(8),,쓰지 않은 것을 정리하거나 마무리한 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불이행사유,NFLFL_RSN,내용,내용V4000,VARCHAR(4000),,약속이나 계약 따위를 실행하지 아니한 이유,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불인정금액,NRCG_AMT,금액,금액N15,NUMBER(15),,확실히 그렇다고 여기지 아니하는 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불인정사유,NRCG_RSN,내용,내용V4000,VARCHAR(4000),,확실히 그렇다고 여기지 아니한 이유,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불일치건수,NCNSN_NOCS,수,수N10,NUMBER(10),,의견이나 생각 따위가 서로 어긋나서 꼭 맞지 않는 일의 건수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불일치사유,NCNSN_RSN,내용,내용V4000,VARCHAR(4000),,의견이나 생각 따위가 서로 어긋나서 꼭 맞지 아니한 이유,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불일치여부,NCNSN_YN,여부,여부C1,CHAR(1),,의견이나 생각 따위가 서로 어긋나서 꼭 맞지 아니했는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불출수량,RELS_QTY,수,"수N10,3","NUMBER(10,3)",,돈이나 물품을 내어준 수효와 분량,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
불출일자,RELS_YMD,연월일,연월일C8,CHAR(8),,돈이나 물품을 내어준 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불쾌지수,DCFIDX,율,"율N7,2","NUMBER(7,2)",,"기온과 습도 따위의 기상 요소를 자료로 무더위에 대하여 몸이 느끼는 쾌, 불쾌의 정도를 나타내는 지수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
불합격사유,FAL_RSN,내용,내용V4000,VARCHAR(4000),,시험 따위에 떨어진 이유,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
불합격수량,FAL_QTY,수,"수N10,3","NUMBER(10,3)",,시험 따위에 떨어진 수효와 분량,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
뷰여부,VIEW_YN,여부,여부C1,CHAR(1),,데이터베이스에 존재하는 일종의 가상테이블인지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
뷰테이블명,VIEW_TBL_NM,명,명V300,VARCHAR(300),,관계형 데이터베이스에서 하나 이상의 테이블을 기반으로 정의된 가상 테이블의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
브라우저명,BRWSR_NM,명,명V300,VARCHAR(300),,"인터넷을 검색할 때 문서나 영상, 음성 따위의 정보를 얻기 위하여 사용하는 프로그램의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
브라우저버전번호,BRWSR_VER_NO,번호,번호V50,VARCHAR(50),,"인터넷을 검색할 때 문서나 영상, 음성 따위의 정보를 얻기 위하여 사용하는 프로그램의 개정된 이력에 부여하는 식별 번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
