용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
정지시작일자,STOP_BGNG_YMD,연월일,연월일C8,CHAR(8),,움직이고 있던 것이 멎거나 그치는 일을 시작한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
정지여부,STOP_YN,여부,여부C1,CHAR(1),,움직이고 있던 것이 멎거나 그쳤는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
정지일시,STOP_DT,연월일시분초,연월일시분초D,DATE,,움직이고 있던 것이 멎거나 그친 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
정지일자,STOP_YMD,연월일,연월일C8,CHAR(8),,움직이고 있던 것이 멎거나 그친 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
정지종료일시,STOP_END_DT,연월일시분초,연월일시분초D,DATE,,움직이고 있던 것이 멎거나 그치는 일을 끝마친 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
정지종료일자,STOP_END_YMD,연월일,연월일C8,CHAR(8),,움직이고 있던 것이 멎거나 그치는 일을 끝마친 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
정책내용,PLCY_CN,내용,내용V4000,VARCHAR(4000),,정치적 목적을 실현하기 위한 방책의 내용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
정책명,PLCY_NM,명,명V300,VARCHAR(300),,정치적 목적을 실현하기 위한 방책의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
정책사업명,PLCY_BIZ_NM,명,명V200,VARCHAR(200),,정치적 목적을 실현하기 위한 방책을 목적으로 수행하는 사업의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
정책자금여부,PLCY_FNDS_YN,여부,여부C1,CHAR(1),,정책 목적을 달성하기 위하여 각종 기금이나 정부 예산에서 지원해 주는 대출 자금인지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
정치자금기부금,PLTC_FNDS_AOD,금액,금액N18,NUMBER(18),,정치 활동에 사용하도록 남을 위하여 대가 없이 내놓은 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제3자제공동의여부,TDPTY_PVSN_AGRE_YN,여부,여부C1,CHAR(1),,어떤 정보를 제삼자에게 제공하는 것을 허락할지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제3채무자명,GRNS_NM,명,명V100,VARCHAR(100),,채무자가 제삼자에 대해 채권을 가지고 있고 이 채권이 가압류 대상이 되는 경우 그 제삼자 즉 대상이 되는 채권 채무자의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제개정내용,ENAM_CN,내용,내용V4000,VARCHAR(4000),,제도나 법률 따위를 만들어서 정하거나 이미 정하였던 것을 고쳐 다시 정한 것의 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제개정일자,ENAM_YMD,연월일,연월일C8,CHAR(8),,제도나 법률 따위를 만들어서 정하거나 이미 정하였던 것을 고쳐 다시 정한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제거여부,RMVL_YN,여부,여부C1,CHAR(1),,없애 버렸는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제경비,OVEXP,비용,비용N15,NUMBER(15),,직접비에 포함되지 아니하는 비용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제경비비율,OVEXP_RT,율,"율N5,2","NUMBER(5,2)",,직접비에 포함되지 않는 간접비 적용 비율,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제공건수,PVSN_NOCS,수,수N10,NUMBER(10),,무엇을 내주거나 갖다 바친 건수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제공기관명,PVSN_INST_NM,명,명V200,VARCHAR(200),,무엇을 내주거나 갖다 바치는 기구나 조직의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제공내용,PVSN_CN,내용,내용V4000,VARCHAR(4000),,무엇을 내주거나 갖다 바치는 것이 전하고자 하는 것의 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제공목적,PVSN_PRPS,내용,내용V4000,VARCHAR(4000),,무엇을 내주거나 갖다 바치는 것이 실현하려고 하는 일이나 나아가는 방향,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공방법내용,PVSN_MTHD_CN,내용,내용V4000,VARCHAR(4000),,무엇을 내주거나 갖다 바치는 것의 수단이나 방식의 내용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제공서비스명,PVSN_SRVC_NM,명,명V100,VARCHAR(100),,특정 기관이나 조직이 국민이나 고객에게 일정 목적 달성을 위해 유・무형적으로 제공하는 서비스의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공시각,PVSN_TM,시분초,시분초C6,CHAR(6),,무엇을 내주거나 갖다 바친 어느 한 시점,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공시작일자,PVSN_BGNG_YMD,연월일,연월일C8,CHAR(8),,무엇을 내주거나 갖다 바치기 시작한 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공여부,PVSN_YN,여부,여부C1,CHAR(1),,무엇을 내주거나 갖다 받쳤는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제공일시,PVSN_DT,연월일시분초,연월일시분초D,DATE,,무엇을 내주거나 갖다 바치는 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제공일자,PVSN_YMD,연월일,연월일C8,CHAR(8),,무엇을 내주거나 갖다 바치는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제공자명,OFFR_NM,명,명V100,VARCHAR(100),,무엇을 내주거나 갖다 바치는 사람의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제공자전화번호,OFFR_TELNO,전화번호,전화번호V11,VARCHAR(11),,무엇을 내주거나 갖다 바치는 사람의 전화번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공자주소,OFFR_ADDR,주소,주소V200,VARCHAR(200),,무엇을 내주거나 갖다 바치는 사람의 주소,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제공장소명,PVSN_PLC_NM,명,명V100,VARCHAR(100),,무엇을 내주거나 갖다 바치는 일이 일어나는 곳의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공항목내용,PVSN_ARTCL_CN,내용,내용V4000,VARCHAR(4000),,무엇을 내주거나 갖다 바치는 것의 낱낱이나 갈래를 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공형태내용,PVSN_SHP_CN,내용,내용V4000,VARCHAR(4000),,무엇을 내주거나 갖다 바치는 것이 일정하게 갖추고 있는 모양을 설명한 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제공형태명,PVSN_SHP_NM,명,명V100,VARCHAR(100),,무엇을 내주거나 갖다 바치는 것이 일정하게 갖추고 있는 모양의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제도개선여부,SYSTM_IMPV_YN,여부,여부C1,CHAR(1),,"관습이나 도덕, 법률 따위의 규범이나 사회 구조의 체계를 개선했는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제동거리,BRKG_DSTNC,수,"수N10,3","NUMBER(10,3)",,기계나 자동차 따위의 운동을 멈추게 하는 데 필요한 거리,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제목,TTL,명,명V256,VARCHAR(256),,"작품이나 강연, 보고, 게시물, 서적, 논문 등에서 그것을 대표하거나 내용을 보이기 위하여 붙이는 이름",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
제보내용,TPOF_CN,내용,내용V4000,VARCHAR(4000),,제공한 정보의 내용,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제보자명,INFMT_NM,명,명V100,VARCHAR(100),,정보를 제공하는 사람의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제수당,SALW,금액,금액N15,NUMBER(15),,임금(賃金)을 구성하는 요소 가운데 기본급을 제외한 모든 수당에 해당하는 돈의 액수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제안건수,PRP_NOCS,수,수N10,NUMBER(10),,안이나 의견을 내놓은 건수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제안기관명,PRP_INST_NM,명,명V200,VARCHAR(200),,안이나 의견을 내놓는 기구나 조직의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제안내용,PRP_CN,내용,내용V4000,VARCHAR(4000),,안이나 의견을 내놓거나 그 안이나 의견이 전하고자 하는 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제안명,PRP_NM,명,명V300,VARCHAR(300),,안이나 의견을 내놓는 것의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제안번호,PRP_NO,번호,번호V20,VARCHAR(20),,안이나 의견으로 내놓은 것에 부여하는 식별 번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제안부서명,PRP_DEPT_NM,명,명V200,VARCHAR(200),,안이나 의견으로 내놓은 기관이나 단체의 사무 각 부문의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제안사유,PRP_RSN,내용,내용V4000,VARCHAR(4000),,안이나 의견으로 내놓은 이유,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제안연도,PRP_YR,연도,연도C4,CHAR(4),,안이나 의견을 내놓은 연도,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제안일시,PRP_DT,연월일시분초,연월일시분초D,DATE,,안이나 의견을 내놓은 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제안일자,PRP_YMD,연월일,연월일C8,CHAR(8),,안이나 의견을 내놓는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제안자명,PRPSR_NM,명,명V100,VARCHAR(100),,안이나 의견을 내놓는 사람이나 조직의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제안자전화번호,PRPSR_TELNO,전화번호,전화번호V11,VARCHAR(11),,"법률안이나 예산안, 의견 등을 제출하는 기관이나 사람의 전화번호",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제약조건명,RSTRCT_CND_NM,명,명V100,VARCHAR(100),,조건을 붙여 내용을 제한하는 것이 이루어지려면 갖추어져야 할 상태나 요소의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제약회사명,PHRMCO_NM,명,명V100,VARCHAR(100),,약을 연구 개발·생산하거나 판매하는 회사의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제어방식명,CTRL_MTH_NM,명,명V200,VARCHAR(200),,기계나 설비 또는 화학 반응 따위가 목적에 알맞은 작용을 하도록 조절하기 위한 일정한 방법이나 형식의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제외건수,EXCL_NOCS,수,수N10,NUMBER(10),,따로 떼어내어 한데 헤아리지 않은 건수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외금액,EXCL_AMT,금액,금액N15,NUMBER(15),,따로 떼어내어 한데 헤아리지 않는 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제외대상여부,EXCL_TRGT_YN,여부,여부C1,CHAR(1),,따로 떼어내어 한데 헤아리지 않는 것의 상대 또는 목적인지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외사유,EXCL_RSN,내용,내용V4000,VARCHAR(4000),,따로 떼어내어 한데 헤아리지 않는 이유,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외시작일시,EXCL_BGNG_DT,연월일시분초,연월일시분초D,DATE,,따로 떼어 내어 한데 헤아리지 않는 것을 시작하는 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제외시작일자,EXCL_BGNG_YMD,연월일,연월일C8,CHAR(8),,따로 떼어 내어 한데 헤아리지 않는 것을 시작하는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외여부,EXCL_YN,여부,여부C1,CHAR(1),,따로 떼어 내어 한데 헤아리지 않았는지 여부,공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
제외일수,EXCL_DAY_CNT,수,수N7,NUMBER(7),,따로 떼어 내어 한데 헤아리지 않는 날의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외일시,EXCL_DT,연월일시분초,연월일시분초D,DATE,,따로 떼어 내어 한데 헤아리지 않는 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제외일자,EXCL_YMD,연월일,연월일C8,CHAR(8),,따로 떼어 내어 한데 헤아리지 않는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제외종료일시,EXCL_END_DT,연월일시분초,연월일시분초D,DATE,,따로 떼어 내어 한데 헤아리지 않는 것을 끝마치는 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제외종료일자,EXCL_END_YMD,연월일,연월일C8,CHAR(8),,따로 떼어 내어 한데 헤아리지 않는 것을 끝마치는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제원관리번호,SPEC_MNG_NO,번호,번호V50,VARCHAR(50),,기계류의 치수나 무게 따위의 성능과 특성을 나타낸 수적 지표를 관리하기 위해 부여하는 식별 번호,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제원명,SPEC_NM,명,명V200,VARCHAR(200),,기계류의 치수나 무게 따위의 성능과 특성을 나타낸 지표의 이름,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제작국가명,FBCTN_NTN_NM,명,명V100,VARCHAR(100),,재료를 가지고 기능과 내용을 가진 새로운 물건이나 예술 작품을 만든 나라의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제작내용,FBCTN_CN,내용,내용V4000,VARCHAR(4000),,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 것의 내용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제작비,PRDCO,비용,비용N15,NUMBER(15),,물건이나 예술 작품을 만드는 데에 드는 비용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제작사명,MNFCTR_NM,명,명V100,VARCHAR(100),,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 회사의 이름,공공데이터 공통표준용어 4차(2021-12),행정안전부,2021-12-01 00:00:00
제작수수료,FBCTN_FEE,요금,요금N15,NUMBER(15),,재료를 가지고 기능과 내용을 가진 새로운 물건이나 예술 작품을 만든 대가로써 주는 요금,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제작연도,FBCTN_YR,연도,연도C4,CHAR(4),,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 연도,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
제작연월,FBCTN_YM,연월,연월C6,CHAR(6),,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 연도와 월,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제작일시,FBCTN_DT,연월일시분초,연월일시분초D,DATE,,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 날짜와 시각,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제작일자,FBCTN_YMD,연월일,연월일C8,CHAR(8),,재료를 바탕으로 기능과 내용이 있는 새로운 물건이나 예술 작품을 만든 날짜,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
제작자명,PDCR_NM,명,명V100,VARCHAR(100),,물건이나 예술 작품을 만드는 사람의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제작진명,PRDSTF_NM,명,명V200,VARCHAR(200),,"연기자를 제외한 연극, 영화, 방송의 제작에 관계하는 모든 사람의 이름",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제재결정일자,RSTRC_DCSN_YMD,연월일,연월일C8,CHAR(8),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하기로 정한 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제재기관명,RSTRC_INST_NM,명,명V200,VARCHAR(200),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하는 일을 맡은 기관의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제재내용,RSTRC_CN,내용,내용V4000,VARCHAR(4000),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하거나 그런 조치가 전하고자 하는 것의 내용,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제재사유,RSTRC_RSN,내용,내용V4000,VARCHAR(4000),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지한 이유,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제재시작일자,RSTRC_BGNG_YMD,연월일,연월일C8,CHAR(8),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하거나 그런 조치를 시작하는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제재여부,RSTRC_YN,여부,여부C1,CHAR(1),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지했는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제재일자,RSTRC_YMD,연월일,연월일C8,CHAR(8),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하거나 그런 조치를 한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제재종료일자,RSTRC_END_YMD,연월일,연월일C8,CHAR(8),,일정한 규칙이나 관습의 위반에 대하여 제한하거나 금지하거나 그런 조치를 끝마치는 날짜,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제적일자,EXPL_YMD,연월일,연월일C8,CHAR(8),,"학적, 당적 따위에서 이름을 지워 버린 날짜",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제정일자,ENCT_YMD,연월일,연월일C8,CHAR(8),,제도나 법률 따위를 만들어서 정한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제조국가명,MNFTR_NTN_NM,명,명V100,VARCHAR(100),,물품을 만든 곳이 속한 나라의 이름,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제조번호,MNFTR_NO,번호,번호V50,VARCHAR(50),,생산한 물품을 서로 구별하여 알아보기 위해 부여하는 식별 번호,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
제조사명,MKR_NM,명,명V100,VARCHAR(100),,물품을 만든 회사의 이름,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
제조사사업자등록번호,MKR_BRNO,사업자등록번호,사업자등록번호C10,CHAR(10),,물품을 만드는 회사를 구별하여 관리하려고 사업자등록을 할 때 국세청에서 매기는 번호,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
제조사상세주소,MKR_DADDR,상세주소,상세주소V200,VARCHAR(200),,"물품을 만드는 회사가 위치한 장소의 동(棟) 번호, 호(號) 수 또는 층수가 나타난 주소",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조사우편번호,MKR_ZIP,우편번호,우편번호C5,CHAR(5),,물품을 만드는 회사의 소재지 우편번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조사전화번호,MKR_TELNO,전화번호,전화번호V11,VARCHAR(11),,물품을 만드는 회사의 전화번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조사주소,MKR_ADDR,주소,주소V200,VARCHAR(200),,물품을 만드는 회사가 위치한 곳의 주소,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조수량,MNFTR_QTY,수,"수N10,3","NUMBER(10,3)",,공장 등에서 물품을 만든 수효와 분량,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조시설면적,MNFTR_FCAR,면적,"면적N19,9","NUMBER(19,9)",,공장의 전체 면적 가운데에서 제조 시설로 활용되는 바닥 넓이,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제조업여부,MFBIZ_YN,여부,여부C1,CHAR(1),,물품을 대량으로 만드는 사업인지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제조연도,MNFTR_YR,연도,연도C4,CHAR(4),,공장 등에서 물품을 만든 연도,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제조연월,MNFTR_YM,연월,연월C6,CHAR(6),,공장 등에서 물품을 만드는 연도와 월,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제조일시,MNFTR_DT,연월일시분초,연월일시분초D,DATE,,공장 등에서 물품을 만든 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제조일자,MNFTR_YMD,연월일,연월일C8,CHAR(8),,공장 등에서 물품을 만든 날짜,공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
제출건수,SBMSN_NOCS,수,수N10,NUMBER(10),,"문안(文案)이나 의견, 법안(法案) 등을 낸 건수",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출기관명,SBMSN_INST_NM,명,명V200,VARCHAR(200),,"문안(文案)이나 의견, 법안(法案) 등을 내는 기구나 조직의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출기한일자,SBMSN_TERM_YMD,연월일,연월일C8,CHAR(8),,"문안(文案)이나 의견, 법안(法案) 등을 내는 것에 미리 한정한 날짜",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출내용,SBMSN_CN,내용,내용V4000,VARCHAR(4000),,"문안(文案)이나 의견, 법안(法案) 등에 들어있는 내용",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출마감시각,SBMSN_DDLN_TM,시분초,시분초C6,CHAR(6),,"문안(文案)이나 의견, 법안(法案) 등을 내는 일의 정해진 기한이 끝나는 어느 한 시점",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제출마감일시,SBMSN_DDLN_DT,연월일시분초,연월일시분초D,DATE,,"문안(文案)이나 의견, 법안(法案) 등을 내는 일의 정해진 기한이 끝나는 날짜와 시각",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제출마감일자,SBMSN_DDLN_YMD,연월일,연월일C8,CHAR(8),,"문안(文案)이나 의견, 법안(法案) 등을 내는 일의 정해진 기한이 끝나는 날짜",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출방법내용,SBMSN_MTHD_CN,내용,내용V4000,VARCHAR(4000),,"문안(文案)이나 의견, 법안(法案) 따위를 낼 때 취하는 수단이나 방식의 내용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제출부서명,SBMSN_DEPT_NM,명,명V200,VARCHAR(200),,"문안(文案)이나 의견, 법안(法案) 등을 내는 기관이나 단체의 사무 조직의 이름",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제출서류명,SBMSN_DCMNT_NM,명,명V100,VARCHAR(100),,"문안(文案)이나 의견, 법안(法案) 등을 내는 문서의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출서류일련번호,SBMSN_DCMNT_SN,일련번호,일련번호N22,NUMBER(22),,"문안(文案)이나 의견, 법안(法案) 등을 기록한 문서에 일정한 방식으로 연속되게 매긴 번호",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출수량,SBMSN_QTY,수,"수N10,3","NUMBER(10,3)",,"문안(文案)이나 의견, 법안(法案) 따위를 낸 것의 수효와 분량",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제출순서,SBMSN_SEQ,순서,순서N10,NUMBER(10),,"문안(文案)이나 의견, 법안(法案) 따위를 낸 것을 정해진 기준에 따라 배열한 차례",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
제출시각,SBMSN_TM,시분초,시분초C6,CHAR(6),,"문안이나 의견, 법안 등을 낸 어느 한 시점",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
제출시작일시,SBMSN_BGNG_DT,연월일시분초,연월일시분초D,DATE,,"문안(文案)이나 의견, 법안(法案) 따위를 내기 시작하는 날짜와 시각",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
제출시작일자,SBMSN_BGNG_YMD,연월일,연월일C8,CHAR(8),,"문안(文案)이나 의견, 법안(法案) 따위를 내기 시작하는 날짜",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출여부,SBMSN_YN,여부,여부C1,CHAR(1),,"문안이나 의견, 법안 등을 냈는지 여부",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
제출연도,SBMSN_YR,연도,연도C4,CHAR(4),,"문안(文案)이나 의견, 법안(法案) 등을 내는 연도",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출연월,SBMSN_YM,연월,연월C6,CHAR(6),,"문안(文案)이나 의견, 법안(法案) 등을 내는 연도와 월",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
제출일시,SBMSN_DT,연월일시분초,연월일시분초D,DATE,,"문안이나 의견, 법안 등을 낸 날짜와 시각",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
제출일자,SBMSN_YMD,연월일,연월일C8,CHAR(8),,"문안이나 의견, 법안 등을 낸 날짜",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
제출자료내용,SBMSN_DATA_CN,내용,내용V4000,VARCHAR(4000),,"문안(文案)이나 의견, 법안(法案) 등을 낸 연구나 조사 따위의 바탕이 되는 재료의 내용",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
